ticker,trailingPE,priceToBook,revenueGrowth,returnOnEquity,debtToEquity,trailingEps,marketCap,sector,shortName
ECL,35.963413,7.466663,0.1,0.22427,92.369,7.38,74696327168.0,Basic Materials,Ecolab Inc.
EIX,7.9293475,1.62853,0.077,0.18864,226.101,9.2,28070717440.0,Utilities,Edison International
EW,46.005405,4.7550144,0.167,0.1046,6.806,1.85,49006338048.0,Healthcare,Edwards Lifesciences Corporatio
EA,57.74716,7.5343785,0.119,0.1349,27.41,3.52,50970255360.0,Communication Services,Electronic Arts Inc.
ELV,17.12161,2.0006437,0.026,0.12086,72.299,23.6,87748804608.0,Healthcare,"Elevance Health, Inc."
LLY,40.320286,32.44838,0.555,1.07459,139.015,28.1,1010342952960.0,Healthcare,Eli Lilly and Company
EMR,33.118057,3.9468677,0.029,0.12328,69.182,4.32,80133505024.0,Industrials,Emerson Electric Company
ENPH,54.049507,6.5260015,-0.206,0.14113,55.529,1.01,7194865152.0,Technology,"Enphase Energy, Inc."
ETR,28.344387,2.9325135,0.12,0.10751,192.883,3.92,50875809792.0,Utilities,Entergy Corporation
EOG,13.436578,2.3646777,0.156,0.18195,26.873,10.17,72783683584.0,Energy,"EOG Resources, Inc."
EPAM,13.704022,1.4665723,0.076,0.10932,8.391,6.96,4983075840.0,Technology,"EPAM Systems, Inc."
EQT,9.855787,1.2933588,0.499,0.13402,20.816,5.27,32487327744.0,Energy,EQT Corporation
EFX,28.822186,4.3012533,0.143,0.1437,113.353,5.68,19749091328.0,Industrials,"Equifax, Inc."
EQIX,72.96821,7.2829294,0.121,0.10059,162.961,14.47,104132411392.0,Real Estate,"Equinix, Inc."
EQR,26.935999,2.3682082,0.025,0.08671,78.42,2.5,26018557952.0,Real Estate,Equity Residential
ESS,31.953829,3.357114,0.064,0.105579995,121.856,8.88,19557806080.0,Real Estate,"Essex Property Trust, Inc."
EL,,8.125397,0.046,-0.05949,232.908,-0.7,32445767680.0,Consumer Defensive,"Estee Lauder Companies, Inc. (T"
ETSY,26.620691,-5.7991824,0.031,,,2.61,6593390592.0,Consumer Cyclical,"Etsy, Inc."
EG,6.911016,0.88340324,-0.047,0.13822,23.471,49.11,13430600704.0,Financial Services,"Everest Group, Ltd."
EVRG,22.300531,1.9030434,0.05,0.08866999,155.555,3.76,19328516096.0,Utilities,"Evergy, Inc."
ES,14.708779,1.5622727,0.094,0.10912,181.822,4.67,25832937472.0,Utilities,Eversource Energy (D/B/A)
EXC,16.926739,1.6129144,0.079,0.09764,174.794,2.73,47282446336.0,Utilities,Exelon Corporation
EXPE,19.884172,46.85208,0.147,0.71494,256.536,11.31,26991765504.0,Consumer Cyclical,"Expedia Group, Inc."
EXPD,26.874193,9.629544,0.044,0.36641,24.708,6.2,21792417792.0,Industrials,Expeditors International of Was
EXR,33.91892,2.3856294,0.038,0.0683,98.092,4.44,33236506624.0,Real Estate,Extra Space Storage Inc
XOM,24.749157,2.368493,0.026,0.09873,18.261,5.94,609348681728.0,Energy,Exxon Mobil Corporation
FFIV,32.49877,6.3693366,0.11,0.2034,7.12,12.19,22351048704.0,Technology,"F5, Inc."
FDS,15.528655,4.150203,0.071,0.28084,72.972,15.53,8785730560.0,Financial Services,FactSet Research Systems Inc.
FICO,37.458385,-13.070306,0.387,,,31.48,27346483200.0,Technology,Fair Isaac Corporation
FAST,41.21239,13.401439,0.124,0.33842,11.167,1.13,53463994368.0,Industrials,Fastenal Company
FRT,21.771626,3.4496558,0.103,0.14783,138.432,5.78,10937810944.0,Real Estate,Federal Realty Investment Trust
FDX,18.052828,2.712926,0.083,0.15869,140.994,18.74,80723050496.0,Industrials,FedEx Corporation
FIS,7.5968995,1.2684853,0.301,0.17225,132.328,5.16,20261662720.0,Technology,Fidelity National Information S
FITB,18.427608,1.5529325,0.33,0.07969,,2.97,49602428928.0,Financial Services,Fifth Third Bancorp
FSLR,17.268087,2.9076295,0.236,0.18436001,5.943,15.48,28723357696.0,Technology,"First Solar, Inc."
FE,25.559782,2.1498446,0.116,0.094610006,198.922,1.84,27203616768.0,Utilities,FirstEnergy Corp.
FI,,,,,,,,,
FLT,,,,,,,,,
FMC,,0.81320345,-0.041,-0.78367996,251.722,-19.62,1481786880.0,Basic Materials,FMC Corporation
F,,1.5788914,0.064,-0.14813,425.544,-1.55,59132841984.0,Consumer Cyclical,Ford Motor Company
FTNT,56.92607,108.53116,0.201,1.32392,57.31,2.57,107186462720.0,Technology,"Fortinet, Inc."
FTV,35.37647,3.0213513,0.077,0.06814,58.806,1.7,18334341120.0,Technology,Fortive Corporation
FOXA,17.328947,2.5260854,-0.086,0.152,67.867,3.8,27669268480.0,Communication Services,Fox Corporation
FOX,15.505263,2.2602422,-0.086,0.152,67.867,3.8,24757377024.0,Communication Services,Fox Corporation
BEN,24.52672,1.3770787,0.087,0.06704,23.471,1.31,16695942144.0,Financial Services,"Franklin Resources, Inc."
FCX,36.19577,5.0401535,0.088,0.15630999,33.008,1.89,98343469056.0,Basic Materials,"Freeport-McMoRan, Inc."
GRMN,26.603354,4.9541206,0.142,0.19899,2.331,8.95,45919064064.0,Technology,Garmin Ltd.
IT,14.641304,158.64026,-0.015,0.94878,5293.41,10.12,9920261120.0,Technology,"Gartner, Inc."
GE,41.652172,18.827559,0.247,0.45428002,116.527,8.05,350331371520.0,Industrials,GE Aerospace
GEHC,15.630695,2.779294,0.074,0.19462,97.055,4.17,29649846272.0,Healthcare,GE HealthCare Technologies Inc.
GEV,27.472544,18.156305,0.163,0.75708,24.925,34.24,252774154240.0,Industrials,GE Vernova Inc.
GEN,15.490445,5.570316,0.27,0.39876997,316.354,1.57,14651191296.0,Technology,Gen Digital Inc.
GNRC,81.987495,5.7632403,0.124,0.07388,52.086,3.2,15444786176.0,Industrials,Generac Holdlings Inc.
GD,22.669603,3.7297192,0.103,0.17974001,37.701,15.89,97414356992.0,Industrials,General Dynamics Corporation
GIS,8.437652,3.3330112,0.022,0.23591,217.629,4.09,18417338368.0,Consumer Defensive,"General Mills, Inc."
GM,29.744526,1.1732188,-0.009,0.040149998,199.048,2.74,73485713408.0,Consumer Cyclical,General Motors Company
GPC,235.79546,3.1904423,0.068,0.01342,149.454,0.44,14433918976.0,Consumer Cyclical,Genuine Parts Company
GILD,17.087074,6.633391,0.044,0.4336,94.635,7.35,155928756224.0,Healthcare,"Gilead Sciences, Inc."
GPN,24.893381,0.7780523,0.631,0.02935,95.593,2.72,18521630720.0,Industrials,Global Payments Inc.
GL,11.532503,2.134637,0.054,0.20455,53.588,14.46,12948039680.0,Financial Services,Globe Life Inc.
GS,19.418053,2.9829822,0.145,0.14548,678.596,54.73,313519144960.0,Financial Services,"Goldman Sachs Group, Inc. (The)"
HAL,21.878452,3.0673895,-0.003,0.14626999,74.651,1.81,33081749504.0,Energy,Halliburton Company
HIG,9.121745,1.9203815,0.061,0.22735001,23.151,14.21,35532836864.0,Financial Services,"The Hartford Insurance Group, I"
HAS,,18.322779,0.127,-0.23316,574.488,-1.61,11871069184.0,Consumer Cyclical,"Hasbro, Inc."
HCA,13.3326435,-13.66968,0.043,,,29.04,85891932160.0,Healthcare,"HCA Healthcare, Inc."
DOC,64.65625,1.8379675,0.071,0.027999999,118.243,0.32,14264094720.0,Real Estate,"Healthpeak Properties, Inc."
HSIC,24.546827,2.8465824,0.063,0.08762,77.748,3.31,9255736320.0,Healthcare,"Henry Schein, Inc."
HSY,33.7658,7.783872,0.106,0.23234,120.011,5.38,36848529408.0,Consumer Defensive,The Hershey Company
HES,,,,,,,,,
HPE,45.01869,2.520274,0.4,0.06315,84.03,1.07,63786881024.0,Technology,Hewlett Packard Enterprise Comp
HLT,52.897556,-13.37677,0.11,,,6.54,78754955264.0,Consumer Cyclical,Hilton Worldwide Holdings Inc.
HOLX,,,,,,,,,
HD,23.3066,23.598017,0.048,1.2838,459.356,14.09,327443152896.0,Consumer Cyclical,"Home Depot, Inc. (The)"
HON,35.19329,10.272299,0.024,0.24264,257.387,6.26,139600117760.0,Industrials,Honeywell International Inc.
HRL,29.117647,1.7133957,-0.029,0.05831,4.244,0.85,13619534848.0,Consumer Defensive,Hormel Foods Corporation
HST,16.931973,2.4969902,0.028,0.1487,80.482,1.47,17267843072.0,Real Estate,"Host Hotels & Resorts, Inc."
HWM,61.408356,19.219376,0.191,0.33818,87.794,4.31,105896452096.0,Industrials,Howmet Aerospace Inc.
HPQ,9.348148,-160.76433,0.09,,,2.7,23082553344.0,Technology,HP Inc.
HUBB,28.16834,6.6867175,0.111,0.25822002,72.468,16.93,25199716352.0,Industrials,Hubbell Inc
HUM,40.471718,2.4504697,0.235,0.062800005,77.073,9.37,45529722880.0,Healthcare,Humana Inc.
HBAN,13.476924,1.1976212,0.336,0.083859995,,1.3,35515330560.0,Financial Services,Huntington Bancshares Incorpora
HII,19.34243,2.277443,0.134,0.12198,56.946,15.39,11729790976.0,Industrials,"Huntington Ingalls Industries, "
IBM,24.092033,7.7598834,0.095,0.35772,211.169,11.3,255874367488.0,Technology,International Business Machines
IEX,32.36889,4.0085497,0.089,0.12748,46.915,6.75,16171549696.0,Industrials,IDEX Corporation
IDXX,41.33235,28.560953,0.143,0.72915,71.04,13.57,44243898368.0,Healthcare,"IDEXX Laboratories, Inc."
ITW,23.92472,22.937717,0.046,0.96848,283.22,10.76,74062610432.0,Industrials,Illinois Tool Works Inc.
INCY,15.329096,3.8593934,0.209,0.30823,0.701,7.08,21682358272.0,Healthcare,Incyte Corporation
